invoice_id,case_id,order_id,customer_id,subtotal,tax_rate,tax_amount,total_amount,invoice_status,invoice_date
INV-00037,CASE-00037,ORD-00037,CUST-0037,21187.03,0.1800,3813.67,25000.70,ISSUED,2026-01-01
INV-00038,CASE-00038,ORD-00038,CUST-0038,466102.35,0.1800,83898.42,550000.77,ISSUED,2026-05-06
INV-00039,CASE-00039,ORD-00039,CUST-0039,101695.42,0.1800,18305.18,120000.60,ISSUED,2026-03-07
INV-00040,CASE-00040,ORD-00040,CUST-0040,1060.14,0.1800,190.82,1250.96,ISSUED,2026-04-02
INV-00041,CASE-00041,ORD-00041,CUST-0041,423.77,0.1800,76.28,500.05,ISSUED,2026-04-06
INV-00042,CASE-00042,ORD-00042,CUST-0042,21187.12,0.1800,3813.68,25000.80,ISSUED,2026-08-12
INV-00043,CASE-00043,ORD-00043,CUST-0043,41102.13,0.1800,7398.38,48500.51,ISSUED,2026-04-05
INV-00044,CASE-00044,ORD-00044,CUST-0044,1060.16,0.1800,190.83,1250.99,ISSUED,2026-06-15
INV-00045,CASE-00045,ORD-00045,CUST-0045,424.33,0.1800,76.38,500.71,ISSUED,2026-04-07
INV-00046,CASE-00046,ORD-00046,CUST-0046,101695.52,0.1800,18305.19,120000.71,ISSUED,2026-05-04
INV-00047,CASE-00047,ORD-00047,CUST-0047,101695.40,0.1800,18305.17,120000.57,ISSUED,2026-03-03
INV-00048,CASE-00048,ORD-00048,CUST-0048,6355.92,0.1800,1144.06,7499.98,ISSUED,2026-07-22
INV-00049,CASE-00049,ORD-00049,CUST-0049,41101.77,0.1800,7398.32,48500.09,ISSUED,2026-04-21
INV-00050,CASE-00050,ORD-00050,CUST-0050,101695.00,0.1800,18305.10,120000.10,ISSUED,2026-02-23
INV-00051,CASE-00051,ORD-00051,CUST-0051,4236.51,0.1800,762.57,4999.08,ISSUED,2026-06-11
INV-00052,CASE-00052,ORD-00052,CUST-0052,21186.50,0.1800,3813.57,25000.07,ISSUED,2026-03-22
INV-00053,CASE-00053,ORD-00053,CUST-0053,466102.10,0.1800,83898.38,550000.48,ISSUED,2026-07-05
INV-00054,CASE-00054,ORD-00054,CUST-0054,21187.02,0.1800,3813.66,25000.68,ISSUED,2026-08-01
INV-00055,CASE-00055,ORD-00055,CUST-0055,6355.55,0.1800,1144.00,7499.55,ISSUED,2026-07-08
INV-00056,CASE-00056,ORD-00056,CUST-0056,2118.30,0.1800,381.29,2499.59,ISSUED,2026-02-19
INV-00057,CASE-00057,ORD-00057,CUST-0057,466102.31,0.1800,83898.41,550000.72,ISSUED,2026-01-11
INV-00058,CASE-00058,ORD-00058,CUST-0058,41101.89,0.1800,7398.34,48500.23,ISSUED,2026-01-20
INV-00059,CASE-00059,ORD-00059,CUST-0059,41102.04,0.1800,7398.37,48500.41,ISSUED,2026-05-12
INV-00060,CASE-00060,ORD-00060,CUST-0060,1059.83,0.1800,190.77,1250.60,ISSUED,2026-01-08
INV-00061,CASE-00061,ORD-00061,CUST-0061,1060.16,0.1800,190.83,1250.99,ISSUED,2026-01-16
INV-00062,CASE-00062,ORD-00062,CUST-0062,466101.86,0.1800,83898.33,550000.19,ISSUED,2026-04-03
INV-00063,CASE-00063,ORD-00063,CUST-0063,466101.92,0.1800,83898.35,550000.27,ISSUED,2026-06-30
INV-00064,CASE-00064,ORD-00064,CUST-0064,2118.13,0.1800,381.26,2499.39,ISSUED,2026-02-11
INV-00065,CASE-00065,ORD-00065,CUST-0065,21187.21,0.1800,3813.70,25000.91,ISSUED,2026-03-19
INV-00066,CASE-00066,ORD-00066,CUST-0066,1060.08,0.1800,190.81,1250.89,ISSUED,2026-04-28
INV-00067,CASE-00067,ORD-00067,CUST-0067,10170.07,0.1800,1830.61,12000.68,ISSUED,2026-06-16
INV-00068,CASE-00068,ORD-00068,CUST-0068,424.18,0.1800,76.35,500.53,ISSUED,2026-07-10
INV-00069,CASE-00069,ORD-00069,CUST-0069,2118.26,0.1800,381.29,2499.55,ISSUED,2026-03-10
INV-00070,CASE-00070,ORD-00070,CUST-0070,41102.16,0.1800,7398.39,48500.55,ISSUED,2026-04-15
INV-00071,CASE-00071,ORD-00071,CUST-0071,41101.96,0.1800,7398.35,48500.31,ISSUED,2026-06-30
INV-00072,CASE-00072,ORD-00072,CUST-0072,10169.52,0.1800,1830.51,12000.03,ISSUED,2026-07-11
INV-00073,CASE-00073,ORD-00073,CUST-0073,10169.77,0.1800,1830.56,12000.33,ISSUED,2026-05-13
INV-00074,CASE-00074,ORD-00074,CUST-0074,101694.92,0.1800,18305.09,120000.01,ISSUED,2026-07-20
INV-00075,CASE-00075,ORD-00075,CUST-0075,41102.30,0.1800,7398.41,48500.71,ISSUED,2026-04-04
INV-00076,CASE-00076,ORD-00076,CUST-0076,41101.71,0.1800,7398.31,48500.02,ISSUED,2026-02-06
INV-00077,CASE-00077,ORD-00077,CUST-0077,6355.80,0.1800,1144.04,7499.84,ISSUED,2026-08-14
INV-00078,CASE-00078,ORD-00078,CUST-0078,21187.25,0.1800,3813.70,25000.95,ISSUED,2026-08-02
INV-00079,CASE-00079,ORD-00079,CUST-0079,6355.42,0.1800,1143.97,7499.39,ISSUED,2026-04-08
INV-00080,CASE-00080,ORD-00080,CUST-0080,10169.62,0.1800,1830.53,12000.15,ISSUED,2026-07-28
INV-00081,CASE-00081,ORD-00081,CUST-0001,6355.86,0.1800,1144.06,7499.92,ISSUED,2026-07-23
INV-00082,CASE-00082,ORD-00082,CUST-0002,6355.33,0.1800,1143.96,7499.29,ISSUED,2026-05-21
INV-00083,CASE-00083,ORD-00083,CUST-0003,6355.13,0.1800,1143.92,7499.05,ISSUED,2026-01-22
INV-00084,CASE-00084,ORD-00084,CUST-0004,41101.81,0.1800,7398.32,48500.13,ISSUED,2026-01-05
INV-00085,CASE-00085,ORD-00085,CUST-0005,41102.06,0.1800,7398.37,48500.43,ISSUED,2026-03-13
INV-00086,CASE-00086,ORD-00086,CUST-0006,1059.75,0.1800,190.76,1250.51,ISSUED,2026-07-10
INV-00087,CASE-00087,ORD-00087,CUST-0007,2117.96,0.1800,381.23,2499.19,ISSUED,2026-08-07
INV-00088,CASE-00088,ORD-00088,CUST-0008,101695.74,0.1800,18305.23,120000.97,ISSUED,2026-06-11
INV-00089,CASE-00089,ORD-00089,CUST-0009,101695.32,0.1800,18305.16,120000.48,ISSUED,2026-06-24
INV-00090,CASE-00090,ORD-00090,CUST-0010,6355.69,0.1800,1144.03,7499.72,ISSUED,2026-01-24
INV-00091,CASE-00091,ORD-00091,CUST-0011,4236.72,0.1800,762.61,4999.33,ISSUED,2026-02-01
INV-00092,CASE-00092,ORD-00092,CUST-0012,2117.80,0.1800,381.20,2499.00,ISSUED,2026-06-08
INV-00093,CASE-00093,ORD-00093,CUST-0013,6355.12,0.1800,1143.92,7499.04,ISSUED,2026-03-31
INV-00094,CASE-00094,ORD-00094,CUST-0014,1060.06,0.1800,190.81,1250.87,ISSUED,2026-04-01
INV-00095,CASE-00095,ORD-00095,CUST-0015,21186.56,0.1800,3813.58,25000.14,ISSUED,2026-07-31
INV-00096,CASE-00096,ORD-00096,CUST-0016,2117.87,0.1800,381.22,2499.09,ISSUED,2026-01-24
INV-00097,CASE-00097,ORD-00097,CUST-0017,41101.82,0.1800,7398.33,48500.15,ISSUED,2026-07-02
INV-00098,CASE-00098,ORD-00098,CUST-0018,101695.50,0.1800,18305.19,120000.69,ISSUED,2026-07-11
INV-00099,CASE-00099,ORD-00099,CUST-0019,21187.24,0.1800,3813.70,25000.94,ISSUED,2026-05-06
INV-00100,CASE-00100,ORD-00100,CUST-0020,4237.17,0.1800,762.69,4999.86,ISSUED,2026-08-12
