tax_id,case_id,invoice_id,tax_type,taxable_amount,tax_rate,tax_amount,filing_period,recorded_at
TAX-00019,CASE-00019,INV-00019,GST_OUTPUT,6355.13,0.1800,1143.92,2026-01,2026-01-02 12:03:53
TAX-00020,CASE-00020,INV-00020,GST_OUTPUT,2118.59,0.1800,381.35,2026-06,2026-06-21 16:17:19
TAX-00021,CASE-00021,INV-00021,GST_OUTPUT,1059.40,0.1800,190.69,2026-02,2026-02-27 23:17:11
TAX-00022,CASE-00022,INV-00022,GST_OUTPUT,21186.58,0.1800,3813.58,2026-01,2026-01-17 06:54:23
TAX-00023,CASE-00023,INV-00023,GST_OUTPUT,4237.18,0.1800,762.69,2026-04,2026-04-08 00:49:08
TAX-00024,CASE-00024,INV-00024,GST_OUTPUT,466102.50,0.1800,83898.45,2026-03,2026-03-02 01:33:29
TAX-00025,CASE-00025,INV-00025,GST_OUTPUT,423.92,0.1800,76.30,2026-05,2026-05-10 03:16:34
TAX-00026,CASE-00026,INV-00026,GST_OUTPUT,6355.25,0.1800,1143.95,2026-02,2026-02-12 01:31:27
TAX-00027,CASE-00027,INV-00027,GST_OUTPUT,4236.93,0.1800,762.65,2026-05,2026-05-16 20:04:09
TAX-00028,CASE-00028,INV-00028,GST_OUTPUT,4236.87,0.1800,762.64,2026-05,2026-05-08 13:37:23
TAX-00029,CASE-00029,INV-00029,GST_OUTPUT,101695.35,0.1800,18305.16,2026-07,2026-07-28 06:53:34
TAX-00030,CASE-00030,INV-00030,GST_OUTPUT,2118.42,0.1800,381.32,2026-04,2026-04-14 05:19:33
TAX-00031,CASE-00031,INV-00031,GST_OUTPUT,10170.28,0.1800,1830.65,2026-05,2026-05-02 22:45:04
TAX-00032,CASE-00032,INV-00032,GST_OUTPUT,21187.06,0.1800,3813.67,2026-03,2026-03-15 22:39:45
TAX-00033,CASE-00033,INV-00033,GST_OUTPUT,424.29,0.1800,76.37,2026-07,2026-07-29 04:46:10
TAX-00034,CASE-00034,INV-00034,GST_OUTPUT,10170.16,0.1800,1830.63,2026-05,2026-05-02 23:59:21
TAX-00035,CASE-00035,INV-00035,GST_OUTPUT,21186.79,0.1800,3813.62,2026-06,2026-06-06 07:42:36
TAX-00036,CASE-00036,INV-00036,GST_OUTPUT,21187.16,0.1800,3813.69,2026-05,2026-05-28 08:57:24
TAX-00037,CASE-00037,INV-00037,GST_OUTPUT,21187.03,0.1800,3813.67,2026-01,2026-01-01 04:49:01
TAX-00038,CASE-00038,INV-00038,GST_OUTPUT,466102.35,0.1800,83898.42,2026-05,2026-05-06 05:37:49
TAX-00039,CASE-00039,INV-00039,GST_OUTPUT,101695.42,0.1800,18305.18,2026-03,2026-03-08 00:40:18
TAX-00040,CASE-00040,INV-00040,GST_OUTPUT,1060.14,0.1800,190.82,2026-04,2026-04-02 06:09:02
TAX-00041,CASE-00041,INV-00041,GST_OUTPUT,423.77,0.1800,76.28,2026-04,2026-04-06 03:09:52
TAX-00042,CASE-00042,INV-00042,GST_OUTPUT,21187.12,0.1800,3813.68,2026-08,2026-08-12 16:43:30
TAX-00043,CASE-00043,INV-00043,GST_OUTPUT,41102.13,0.1200,4932.26,2026-04,2026-04-05 21:10:59
TAX-00044,CASE-00044,INV-00044,GST_OUTPUT,1060.16,0.1800,190.83,2026-06,2026-06-15 05:39:59
TAX-00045,CASE-00045,INV-00045,GST_OUTPUT,424.33,0.1800,76.38,2026-04,2026-04-07 19:44:46
TAX-00046,CASE-00046,INV-00046,GST_OUTPUT,101695.52,0.1800,18305.19,2026-05,2026-05-04 08:29:52
TAX-00047,CASE-00047,INV-00047,GST_OUTPUT,101695.40,0.1800,18305.17,2026-03,2026-03-03 21:30:33
TAX-00048,CASE-00048,INV-00048,GST_OUTPUT,6355.92,0.1800,1144.06,2026-07,2026-07-22 11:56:59
TAX-00049,CASE-00049,INV-00049,GST_OUTPUT,41101.77,0.1800,7398.32,2026-04,2026-04-22 01:12:45
TAX-00050,CASE-00050,INV-00050,GST_OUTPUT,101695.00,0.1200,12203.40,2026-02,2026-02-23 19:45:23
TAX-00051,CASE-00051,INV-00051,GST_OUTPUT,4236.51,0.1800,762.57,2026-06,2026-06-11 05:52:56
TAX-00052,CASE-00052,INV-00052,GST_OUTPUT,21186.50,0.1800,3813.57,2026-03,2026-03-22 10:53:10
TAX-00053,CASE-00053,INV-00053,GST_OUTPUT,466102.10,0.1800,83898.38,2026-07,2026-07-05 07:48:24
TAX-00054,CASE-00054,INV-00054,GST_OUTPUT,21187.02,0.1800,3813.66,2026-08,2026-08-01 04:20:19
TAX-00055,CASE-00055,INV-00055,GST_OUTPUT,6355.55,0.1800,1144.00,2026-07,2026-07-08 16:33:41
TAX-00056,CASE-00056,INV-00056,GST_OUTPUT,2118.30,0.1800,381.29,2026-02,2026-02-19 14:38:38
TAX-00057,CASE-00057,INV-00057,GST_OUTPUT,466102.31,0.1800,83898.41,2026-01,2026-01-11 14:41:33
TAX-00058,CASE-00058,INV-00058,GST_OUTPUT,41101.89,0.1800,7398.34,2026-01,2026-01-20 14:44:12
TAX-00059,CASE-00059,INV-00059,GST_OUTPUT,41102.04,0.1200,4932.24,2026-05,2026-05-12 03:45:59
TAX-00060,CASE-00060,INV-00060,GST_OUTPUT,1059.83,0.1800,190.77,2026-01,2026-01-08 14:39:55
TAX-00061,CASE-00061,INV-00061,GST_OUTPUT,1060.16,0.1800,190.83,2026-01,2026-01-16 16:14:58
TAX-00062,CASE-00062,INV-00062,GST_OUTPUT,466101.86,0.1800,83898.33,2026-04,2026-04-03 18:27:00
TAX-00063,CASE-00063,INV-00063,GST_OUTPUT,466101.92,0.1800,83898.35,2026-06,2026-06-30 15:27:51
TAX-00064,CASE-00064,INV-00064,GST_OUTPUT,2118.13,0.1800,381.26,2026-02,2026-02-12 01:33:12
TAX-00065,CASE-00065,INV-00065,GST_OUTPUT,21187.21,0.1800,3813.70,2026-03,2026-03-19 03:38:03
TAX-00066,CASE-00066,INV-00066,GST_OUTPUT,1060.08,0.1800,190.81,2026-04,2026-04-28 05:57:15
TAX-00067,CASE-00067,INV-00067,GST_OUTPUT,10170.07,0.1800,1830.61,2026-06,2026-06-16 11:46:20
TAX-00068,CASE-00068,INV-00068,GST_OUTPUT,424.18,0.1800,76.35,2026-07,2026-07-10 11:03:39
TAX-00069,CASE-00069,INV-00069,GST_OUTPUT,2118.26,0.1800,381.29,2026-03,2026-03-10 11:47:55
TAX-00070,CASE-00070,INV-00070,GST_OUTPUT,41102.16,0.1800,7398.39,2026-04,2026-04-15 06:38:39
TAX-00071,CASE-00071,INV-00071,GST_OUTPUT,41101.96,0.1800,7398.35,2026-06,2026-06-30 14:27:48
TAX-00072,CASE-00072,INV-00072,GST_OUTPUT,10169.52,0.1800,1830.51,2026-07,2026-07-12 01:17:13
TAX-00073,CASE-00073,INV-00073,GST_OUTPUT,10169.77,0.1800,1830.56,2026-05,2026-05-13 07:15:16
TAX-00074,CASE-00074,INV-00074,GST_OUTPUT,101694.92,0.1800,18305.09,2026-07,2026-07-20 16:18:53
TAX-00075,CASE-00075,INV-00075,GST_OUTPUT,41102.30,0.1800,7398.41,2026-04,2026-04-04 11:03:53
TAX-00076,CASE-00076,INV-00076,GST_OUTPUT,41101.71,0.1800,7398.31,2026-02,2026-02-06 05:20:12
TAX-00077,CASE-00077,INV-00077,GST_OUTPUT,6355.80,0.1800,1144.04,2026-08,2026-08-14 23:32:27
TAX-00078,CASE-00078,INV-00078,GST_OUTPUT,21187.25,0.1800,3813.70,2026-08,2026-08-02 21:01:32
TAX-00079,CASE-00079,INV-00079,GST_OUTPUT,6355.42,0.1800,1143.97,2026-04,2026-04-08 18:15:07
TAX-00080,CASE-00080,INV-00080,GST_OUTPUT,10169.62,0.1800,1830.53,2026-07,2026-07-28 03:37:50
TAX-00081,CASE-00081,INV-00081,GST_OUTPUT,6355.86,0.1800,1144.06,2026-07,2026-07-23 19:00:12
TAX-00082,CASE-00082,INV-00082,GST_OUTPUT,6355.33,0.1800,1143.96,2026-05,2026-05-21 04:41:19
TAX-00083,CASE-00083,INV-00083,GST_OUTPUT,6355.13,0.1800,1143.92,2026-01,2026-01-22 07:15:09
TAX-00084,CASE-00084,INV-00084,GST_OUTPUT,41101.81,0.1800,7398.32,2026-01,2026-01-05 20:21:18
TAX-00085,CASE-00085,INV-00085,GST_OUTPUT,41102.06,0.1800,7398.37,2026-03,2026-03-13 16:25:38
TAX-00086,CASE-00086,INV-00086,GST_OUTPUT,1059.75,0.1800,190.76,2026-07,2026-07-11 02:28:36
TAX-00087,CASE-00087,INV-00087,GST_OUTPUT,2117.96,0.1800,381.23,2026-08,2026-08-07 15:02:42
TAX-00088,CASE-00088,INV-00088,GST_OUTPUT,101695.74,0.1800,18305.23,2026-06,2026-06-11 18:05:22
TAX-00089,CASE-00089,INV-00089,GST_OUTPUT,101695.32,0.1800,18305.16,2026-06,2026-06-25 02:07:56
TAX-00090,CASE-00090,INV-00090,GST_OUTPUT,6355.69,0.1800,1144.03,2026-01,2026-01-24 10:28:13
TAX-00091,CASE-00091,INV-00091,GST_OUTPUT,4236.72,0.1800,762.61,2026-02,2026-02-01 13:44:19
TAX-00092,CASE-00092,INV-00092,GST_OUTPUT,2117.80,0.1800,381.20,2026-06,2026-06-08 18:44:35
TAX-00093,CASE-00093,INV-00093,GST_OUTPUT,6355.12,0.1800,1143.92,2026-03,2026-03-31 23:35:53
TAX-00094,CASE-00094,INV-00094,GST_OUTPUT,1060.06,0.1800,190.81,2026-04,2026-04-01 18:45:03
TAX-00095,CASE-00095,INV-00095,GST_OUTPUT,21186.56,0.1800,3813.58,2026-07,2026-07-31 12:46:21
TAX-00096,CASE-00096,INV-00096,GST_OUTPUT,2117.87,0.1800,381.22,2026-01,2026-01-24 06:54:00
TAX-00097,CASE-00097,INV-00097,GST_OUTPUT,41101.82,0.1800,7398.33,2026-07,2026-07-02 02:39:54
TAX-00098,CASE-00098,INV-00098,GST_OUTPUT,101695.50,0.1800,18305.19,2026-07,2026-07-11 21:30:18
TAX-00099,CASE-00099,INV-00099,GST_OUTPUT,21187.24,0.1800,3813.70,2026-05,2026-05-06 05:17:17
TAX-00100,CASE-00100,INV-00100,GST_OUTPUT,4237.17,0.1800,762.69,2026-08,2026-08-12 12:14:39
