settlement_id,case_id,payment_id,gross_amount,fee_amount,tax_amount,adjustment_amount,net_amount,settlement_status,settlement_date
SETTL-00052,CASE-00052,PAY-00052,23750.07,500.00,90.00,0.00,23160.07,SETTLED,2026-03-24
SETTL-00053,CASE-00053,PAY-00053,550000.48,11000.01,1980.00,0.00,537020.47,SETTLED,2026-07-07
SETTL-00054,CASE-00054,PAY-00054,23750.65,500.01,90.00,0.00,23160.64,SETTLED,2026-08-03
SETTL-00055,CASE-00055,PAY-00055,7499.55,149.99,27.00,0.00,7322.56,SETTLED,2026-07-10
SETTL-00057,CASE-00057,PAY-00057,550000.72,11000.01,1980.00,0.00,537020.71,SETTLED,2026-01-13
SETTL-00058,CASE-00058,PAY-00058,48500.23,970.00,174.60,0.00,47355.63,SETTLED,2026-01-22
SETTL-00059,CASE-00059,PAY-00059,48500.41,970.01,174.60,0.00,47355.80,SETTLED,2026-05-14
SETTL-00060,CASE-00060,PAY-00060,1250.60,25.01,4.50,0.00,970.97,SETTLED,2026-01-10
SETTL-00062,CASE-00062,PAY-00062,550000.19,11000.00,1980.00,-450.00,536570.19,SETTLED,2026-04-05
SETTL-00063,CASE-00063,PAY-00063,550000.27,19250.01,3465.00,0.00,527285.26,SETTLED,2026-07-02
SETTL-00064,CASE-00064,PAY-00064,2499.39,49.99,9.00,-450.00,1990.40,SETTLED,2026-02-13
SETTL-00065,CASE-00065,PAY-00065,25000.91,500.02,90.00,0.00,24410.89,SETTLED,2026-03-21
SETTL-00066,CASE-00066,PAY-00066,1250.89,43.78,7.88,0.00,1199.23,SETTLED,2026-04-30
SETTL-00067,CASE-00067,PAY-00067,12000.68,240.01,43.20,0.00,11717.47,SETTLED,2026-06-18
SETTL-00068,CASE-00068,PAY-00068,500.53,10.01,1.80,0.00,488.72,SETTLED,2026-07-12
SETTL-00069,CASE-00069,PAY-00069,2499.55,49.99,9.00,0.00,2440.56,SETTLED,2026-03-12
SETTL-00071,CASE-00071,PAY-00071,48500.31,970.01,174.60,0.00,47355.70,SETTLED,2026-07-02
SETTL-00073,CASE-00073,PAY-00073,12000.33,240.01,43.20,0.00,11717.12,SETTLED,2026-05-15
SETTL-00074,CASE-00074,PAY-00074,114000.01,2400.00,432.00,0.00,111168.01,SETTLED,2026-07-22
SETTL-00075,CASE-00075,PAY-00075,48500.71,970.01,174.60,0.00,47356.10,SETTLED,2026-04-06
SETTL-00076,CASE-00076,PAY-00076,48500.02,970.00,174.60,0.00,47355.42,SETTLED,2026-02-08
SETTL-00077,CASE-00077,PAY-00077,7499.84,150.00,27.00,0.00,7322.84,SETTLED,2026-08-16
SETTL-00078,CASE-00078,PAY-00078,23750.90,500.02,90.00,0.00,23160.88,SETTLED,2026-08-04
SETTL-00079,CASE-00079,PAY-00079,7499.39,149.99,27.00,0.00,7322.40,SETTLED,2026-04-10
SETTL-00080,CASE-00080,PAY-00080,12000.15,240.00,43.20,0.00,11716.95,SETTLED,2026-07-30
SETTL-00081,CASE-00081,PAY-00081,7499.92,150.00,27.00,0.00,5822.94,SETTLED,2026-07-25
SETTL-00082,CASE-00082,PAY-00082,7499.29,262.48,47.25,0.00,7189.56,SETTLED,2026-05-23
SETTL-00083,CASE-00083,PAY-00083,7499.05,149.98,27.00,0.00,7322.07,SETTLED,2026-01-24
SETTL-00084,CASE-00084,PAY-00084,48500.13,970.00,174.60,0.00,47355.53,SETTLED,2026-01-07
SETTL-00085,CASE-00085,PAY-00085,48500.43,970.01,174.60,0.00,47355.82,SETTLED,2026-03-15
SETTL-00086,CASE-00086,PAY-00086,1250.51,25.01,4.50,0.00,970.90,SETTLED,2026-07-12
SETTL-00087,CASE-00087,PAY-00087,2499.19,49.98,9.00,0.00,2440.21,SETTLED,2026-08-09
SETTL-00088,CASE-00088,PAY-00088,120000.97,2400.02,432.00,0.00,117168.95,SETTLED,2026-06-13
SETTL-00091,CASE-00091,PAY-00091,4999.33,99.99,18.00,0.00,4881.34,SETTLED,2026-02-03
SETTL-00092,CASE-00092,PAY-00092,2499.00,87.47,15.74,0.00,2395.79,SETTLED,2026-06-10
SETTL-00093,CASE-00093,PAY-00093,7499.04,149.98,27.00,0.00,7322.06,SETTLED,2026-04-02
SETTL-00094,CASE-00094,PAY-00094,1250.87,25.02,4.50,0.00,1221.35,SETTLED,2026-04-03
SETTL-00095,CASE-00095,PAY-00095,25000.14,500.00,90.00,0.00,24410.14,SETTLED,2026-08-02
SETTL-00097,CASE-00097,PAY-00097,46075.14,970.00,174.60,0.00,44930.54,SETTLED,2026-07-04
SETTL-00098,CASE-00098,PAY-00098,120000.69,2400.01,432.00,0.00,93168.54,SETTLED,2026-07-13
SETTL-00099,CASE-00099,PAY-00099,23750.89,500.02,90.00,0.00,23160.87,SETTLED,2026-05-08
SETTL-00100,CASE-00100,PAY-00100,4999.86,100.00,18.00,0.00,4881.86,SETTLED,2026-08-14
