bank_txn_id,case_id,reference_id,amount,transaction_type,description,transaction_date
BTXN-00020,CASE-00020,PG_BULK_TRANSFER_BATCH,2440.94,CREDIT,Razorpay Bulk Transfer Batch (Ref Vague),2026-06-24
BTXN-00021,CASE-00021,SETTL-00021,1220.59,CREDIT,Razorpay Payout Ref SETTL-00021,2026-03-02
BTXN-00022,CASE-00022,SETTL-00022,23967.65,CREDIT,Razorpay Payout Ref SETTL-00022,2026-01-20
BTXN-00023,CASE-00023,SETTL-00023,4881.87,CREDIT,Razorpay Payout Ref SETTL-00023,2026-04-10
BTXN-00024,CASE-00024,SETTL-00024,537020.93,CREDIT,Razorpay Payout Ref SETTL-00024,2026-03-05
BTXN-00025,CASE-00025,SETTL-00025,488.42,CREDIT,Razorpay Payout Ref SETTL-00025,2026-05-13
BTXN-00026,CASE-00026,SETTL-00026,7322.22,CREDIT,Razorpay Delayed Payout Ref SETTL-00026,2026-02-28
BTXN-00027,CASE-00027,SETTL-00027,4881.59,CREDIT,Razorpay Payout Ref SETTL-00027,2026-05-19
BTXN-00028,CASE-00028,SETTL-00028,4881.52,CREDIT,Razorpay Payout Ref SETTL-00028,2026-05-11
BTXN-00029,CASE-00029,SETTL-00029,117168.50,CREDIT,Razorpay Payout Ref SETTL-00029,2026-07-31
BTXN-00030,CASE-00030,SETTL-00030,2440.75,CREDIT,Razorpay Delayed Payout Ref SETTL-00030,2026-05-01
BTXN-00031,CASE-00031,SETTL-00031,11717.71,CREDIT,Razorpay Payout Ref SETTL-00031,2026-05-05
BTXN-00032,CASE-00032,SETTL-00032,24410.72,CREDIT,Razorpay Payout Ref SETTL-00032,2026-03-18
BTXN-00033,CASE-00033,SETTL-00033,479.99,CREDIT,Razorpay Payout Ref SETTL-00033,2026-08-01
BTXN-00034,CASE-00034,SETTL-00034,11717.57,CREDIT,Razorpay Payout Ref SETTL-00034,2026-05-05
BTXN-00035,CASE-00035,SETTL-00035,19410.32,CREDIT,Razorpay Payout Ref SETTL-00035 (Net of Refund),2026-06-09
BTXN-00036,CASE-00036,SETTL-00036,23968.31,CREDIT,Razorpay Payout Ref SETTL-00036,2026-05-31
BTXN-00037,CASE-00037,SETTL-00037,23160.66,CREDIT,Razorpay Payout Ref SETTL-00037,2026-01-04
BTXN-00038,CASE-00038,SETTL-00038,537020.75,CREDIT,Razorpay Delayed Payout Ref SETTL-00038,2026-05-23
BTXN-00039,CASE-00039,SETTL-00039,93168.47,CREDIT,Razorpay Payout Ref SETTL-00039 (Net of Refund),2026-03-10
BTXN-00040,CASE-00040,SETTL-00040,1221.44,CREDIT,Razorpay Payout Ref SETTL-00040,2026-04-05
BTXN-00041,CASE-00041,SETTL-00041,388.24,CREDIT,Razorpay Payout Ref SETTL-00041 (Net of Refund),2026-04-09
BTXN-00042,CASE-00042,SETTL-00042,23968.26,CREDIT,Razorpay Payout Ref SETTL-00042,2026-08-15
BTXN-00043,CASE-00043,SETTL-00043,47355.90,CREDIT,Razorpay Payout Ref SETTL-00043,2026-04-08
BTXN-DUP-00044,CASE-00044,SETTL-00044,1221.47,CREDIT,Razorpay Payout Ref SETTL-00044 (DUPLICATE ENTRY),2026-06-18
BTXN-00044,CASE-00044,SETTL-00044,1221.47,CREDIT,Razorpay Payout Ref SETTL-00044,2026-06-18
BTXN-00045,CASE-00045,SETTL-00045,38.90,CREDIT,Razorpay Payout Ref SETTL-00045 (Unexplained Adj),2026-04-10
BTXN-00046,CASE-00046,SETTL-00046,115044.69,CREDIT,Razorpay Payout Ref SETTL-00046,2026-05-07
BTXN-00047,CASE-00047,SETTL-00047,93168.45,CREDIT,Razorpay Payout Ref SETTL-00047 (Net of Refund),2026-03-06
BTXN-00048,CASE-00048,SETTL-00048,5822.98,CREDIT,Razorpay Payout Ref SETTL-00048 (Net of Refund),2026-07-25
BTXN-00049,CASE-00049,SETTL-00049,47355.49,CREDIT,Razorpay Payout Ref SETTL-00049,2026-04-24
BTXN-00050,CASE-00050,SETTL-00050,117168.10,CREDIT,Razorpay Payout Ref SETTL-00050,2026-02-26
BTXN-00051,CASE-00051,SETTL-00051,4881.10,CREDIT,Razorpay Payout Ref SETTL-00051,2026-06-14
BTXN-00052,CASE-00052,SETTL-00052,23160.07,CREDIT,Razorpay Payout Ref SETTL-00052,2026-03-25
BTXN-00053,CASE-00053,SETTL-00053,537020.47,CREDIT,Razorpay Payout Ref SETTL-00053,2026-07-08
BTXN-00054,CASE-00054,SETTL-00054,23160.64,CREDIT,Razorpay Payout Ref SETTL-00054,2026-08-04
BTXN-00055,CASE-00055,SETTL-00055,7322.56,CREDIT,Razorpay Delayed Payout Ref SETTL-00055,2026-07-25
BTXN-00057,CASE-00057,SETTL-00057,537020.71,CREDIT,Razorpay Payout Ref SETTL-00057,2026-01-14
BTXN-00058,CASE-00058,SETTL-00058,47355.63,CREDIT,Razorpay Payout Ref SETTL-00058,2026-01-23
BTXN-00059,CASE-00059,SETTL-00059,47355.80,CREDIT,Razorpay Payout Ref SETTL-00059,2026-05-15
BTXN-00060,CASE-00060,SETTL-00060,970.97,CREDIT,Razorpay Payout Ref SETTL-00060 (Net of Refund),2026-01-11
BTXN-00062,CASE-00062,SETTL-00062,536570.19,CREDIT,Razorpay Payout Ref SETTL-00062 (Unexplained Adj),2026-04-06
BTXN-00063,CASE-00063,SETTL-00063,527285.26,CREDIT,Razorpay Payout Ref SETTL-00063,2026-07-03
BTXN-00064,CASE-00064,SETTL-00064,1990.40,CREDIT,Razorpay Payout Ref SETTL-00064 (Unexplained Adj),2026-02-14
BTXN-00065,CASE-00065,SETTL-00065,24410.89,CREDIT,Razorpay Payout Ref SETTL-00065,2026-03-22
BTXN-00066,CASE-00066,SETTL-00066,1199.23,CREDIT,Razorpay Payout Ref SETTL-00066,2026-05-01
BTXN-00067,CASE-00067,SETTL-00067,11717.47,CREDIT,Razorpay Payout Ref SETTL-00067,2026-06-19
BTXN-00068,CASE-00068,SETTL-00068,488.72,CREDIT,Razorpay Payout Ref SETTL-00068,2026-07-13
BTXN-00069,CASE-00069,SETTL-00069,2440.56,CREDIT,Razorpay Delayed Payout Ref SETTL-00069,2026-03-27
BTXN-00071,CASE-00071,SETTL-00071,47355.70,CREDIT,Razorpay Payout Ref SETTL-00071,2026-07-03
BTXN-00073,CASE-00073,SETTL-00073,11717.12,CREDIT,Razorpay Payout Ref SETTL-00073,2026-05-16
BTXN-00074,CASE-00074,SETTL-00074,111168.01,CREDIT,Razorpay Payout Ref SETTL-00074,2026-07-23
BTXN-DUP-00075,CASE-00075,SETTL-00075,47356.10,CREDIT,Razorpay Payout Ref SETTL-00075 (DUPLICATE ENTRY),2026-04-07
BTXN-00075,CASE-00075,SETTL-00075,47356.10,CREDIT,Razorpay Payout Ref SETTL-00075,2026-04-07
BTXN-00076,CASE-00076,SETTL-00076,47355.42,CREDIT,Razorpay Payout Ref SETTL-00076,2026-02-09
BTXN-DUP-00077,CASE-00077,SETTL-00077,7322.84,CREDIT,Razorpay Payout Ref SETTL-00077 (DUPLICATE ENTRY),2026-08-17
BTXN-00077,CASE-00077,SETTL-00077,7322.84,CREDIT,Razorpay Payout Ref SETTL-00077,2026-08-17
BTXN-00078,CASE-00078,SETTL-00078,23160.88,CREDIT,Razorpay Payout Ref SETTL-00078,2026-08-05
BTXN-00079,CASE-00079,SETTL-00079,7322.40,CREDIT,Razorpay Payout Ref SETTL-00079,2026-04-11
BTXN-00080,CASE-00080,SETTL-00080,11716.95,CREDIT,Razorpay Payout Ref SETTL-00080,2026-07-31
BTXN-00081,CASE-00081,SETTL-00081,5822.94,CREDIT,Razorpay Payout Ref SETTL-00081 (Net of Refund),2026-07-26
BTXN-00082,CASE-00082,SETTL-00082,7189.56,CREDIT,Razorpay Payout Ref SETTL-00082,2026-05-24
BTXN-00083,CASE-00083,SETTL-00083,7322.07,CREDIT,Razorpay Payout Ref SETTL-00083,2026-01-25
BTXN-00084,CASE-00084,SETTL-00084,47355.53,CREDIT,Razorpay Payout Ref SETTL-00084,2026-01-08
BTXN-00085,CASE-00085,SETTL-00085,47355.82,CREDIT,Razorpay Delayed Payout Ref SETTL-00085,2026-03-30
BTXN-00086,CASE-00086,SETTL-00086,970.90,CREDIT,Razorpay Payout Ref SETTL-00086 (Net of Refund),2026-07-13
BTXN-DUP-00087,CASE-00087,SETTL-00087,2440.21,CREDIT,Razorpay Payout Ref SETTL-00087 (DUPLICATE ENTRY),2026-08-10
BTXN-00087,CASE-00087,SETTL-00087,2440.21,CREDIT,Razorpay Payout Ref SETTL-00087,2026-08-10
BTXN-00088,CASE-00088,SETTL-00088,117168.95,CREDIT,Razorpay Payout Ref SETTL-00088,2026-06-14
BTXN-00091,CASE-00091,SETTL-00091,4881.34,CREDIT,Razorpay Payout Ref SETTL-00091,2026-02-04
BTXN-00092,CASE-00092,SETTL-00092,2395.79,CREDIT,Razorpay Payout Ref SETTL-00092,2026-06-11
BTXN-00093,CASE-00093,SETTL-00093,7322.06,CREDIT,Razorpay Payout Ref SETTL-00093,2026-04-03
BTXN-00094,CASE-00094,SETTL-00094,1221.35,CREDIT,Razorpay Payout Ref SETTL-00094,2026-04-04
BTXN-DUP-00095,CASE-00095,SETTL-00095,24410.14,CREDIT,Razorpay Payout Ref SETTL-00095 (DUPLICATE ENTRY),2026-08-03
BTXN-00095,CASE-00095,SETTL-00095,24410.14,CREDIT,Razorpay Payout Ref SETTL-00095,2026-08-03
BTXN-00097,CASE-00097,SETTL-00097,44930.54,CREDIT,Razorpay Payout Ref SETTL-00097,2026-07-05
BTXN-00098,CASE-00098,SETTL-00098,93168.54,CREDIT,Razorpay Payout Ref SETTL-00098 (Net of Refund),2026-07-14
BTXN-00099,CASE-00099,SETTL-00099,23160.87,CREDIT,Razorpay Payout Ref SETTL-00099,2026-05-09
BTXN-00100,CASE-00100,SETTL-00100,4881.86,CREDIT,Razorpay Payout Ref SETTL-00100,2026-08-15
