order_id,case_id,customer_id,order_amount,currency,order_status,created_at
ORD-00039,CASE-00039,CUST-0039,120000.60,INR,COMPLETED,2026-03-07 21:38:18
ORD-00040,CASE-00040,CUST-0040,1250.96,INR,COMPLETED,2026-04-02 05:08:02
ORD-00041,CASE-00041,CUST-0041,500.05,INR,COMPLETED,2026-04-06 02:05:52
ORD-00042,CASE-00042,CUST-0042,25000.80,INR,COMPLETED,2026-08-12 13:38:30
ORD-00043,CASE-00043,CUST-0043,48500.51,INR,COMPLETED,2026-04-05 18:05:59
ORD-00044,CASE-00044,CUST-0044,1250.99,INR,COMPLETED,2026-06-15 02:38:59
ORD-00045,CASE-00045,CUST-0045,500.71,INR,COMPLETED,2026-04-07 18:41:46
ORD-00046,CASE-00046,CUST-0046,120000.71,INR,COMPLETED,2026-05-04 05:25:52
ORD-00047,CASE-00047,CUST-0047,120000.57,INR,COMPLETED,2026-03-03 19:27:33
ORD-00048,CASE-00048,CUST-0048,7499.98,INR,COMPLETED,2026-07-22 10:51:59
ORD-00049,CASE-00049,CUST-0049,48500.09,INR,COMPLETED,2026-04-21 23:10:45
ORD-00050,CASE-00050,CUST-0050,120000.10,INR,COMPLETED,2026-02-23 17:44:23
ORD-00051,CASE-00051,CUST-0051,4999.08,INR,COMPLETED,2026-06-11 02:50:56
ORD-00052,CASE-00052,CUST-0052,25000.07,INR,COMPLETED,2026-03-22 07:50:10
ORD-00053,CASE-00053,CUST-0053,550000.48,INR,COMPLETED,2026-07-05 05:46:24
ORD-00054,CASE-00054,CUST-0054,25000.68,INR,COMPLETED,2026-08-01 02:19:19
ORD-00055,CASE-00055,CUST-0055,7499.55,INR,COMPLETED,2026-07-08 14:30:41
ORD-00056,CASE-00056,CUST-0056,2499.59,INR,COMPLETED,2026-02-19 13:34:38
ORD-00057,CASE-00057,CUST-0057,550000.72,INR,COMPLETED,2026-01-11 12:36:33
ORD-00058,CASE-00058,CUST-0058,48500.23,INR,COMPLETED,2026-01-20 12:41:12
ORD-00059,CASE-00059,CUST-0059,48500.41,INR,COMPLETED,2026-05-12 01:43:59
ORD-00060,CASE-00060,CUST-0060,1250.60,INR,COMPLETED,2026-01-08 12:39:55
ORD-00061,CASE-00061,CUST-0061,1250.99,INR,COMPLETED,2026-01-16 15:13:58
ORD-00062,CASE-00062,CUST-0062,550000.19,INR,COMPLETED,2026-04-03 15:24:00
ORD-00063,CASE-00063,CUST-0063,550000.27,INR,COMPLETED,2026-06-30 14:25:51
ORD-00064,CASE-00064,CUST-0064,2499.39,INR,COMPLETED,2026-02-11 23:33:12
ORD-00065,CASE-00065,CUST-0065,25000.91,INR,COMPLETED,2026-03-19 00:34:03
ORD-00066,CASE-00066,CUST-0066,1250.89,INR,COMPLETED,2026-04-28 02:57:15
ORD-00067,CASE-00067,CUST-0067,12000.68,INR,COMPLETED,2026-06-16 08:46:20
ORD-00068,CASE-00068,CUST-0068,500.53,INR,COMPLETED,2026-07-10 09:00:39
ORD-00069,CASE-00069,CUST-0069,2499.55,INR,COMPLETED,2026-03-10 09:42:55
ORD-00070,CASE-00070,CUST-0070,48500.55,INR,COMPLETED,2026-04-15 05:37:39
ORD-00071,CASE-00071,CUST-0071,48500.31,INR,COMPLETED,2026-06-30 11:23:48
ORD-00072,CASE-00072,CUST-0072,12000.03,INR,COMPLETED,2026-07-11 23:16:13
ORD-00073,CASE-00073,CUST-0073,12000.33,INR,COMPLETED,2026-05-13 04:11:16
ORD-00074,CASE-00074,CUST-0074,120000.01,INR,COMPLETED,2026-07-20 15:18:53
ORD-00075,CASE-00075,CUST-0075,48500.71,INR,COMPLETED,2026-04-04 07:58:53
ORD-00076,CASE-00076,CUST-0076,48500.02,INR,COMPLETED,2026-02-06 03:19:12
ORD-00077,CASE-00077,CUST-0077,7499.84,INR,COMPLETED,2026-08-14 20:29:27
ORD-00078,CASE-00078,CUST-0078,25000.95,INR,COMPLETED,2026-08-02 17:59:32
ORD-00079,CASE-00079,CUST-0079,7499.39,INR,COMPLETED,2026-04-08 15:15:07
ORD-00080,CASE-00080,CUST-0080,12000.15,INR,COMPLETED,2026-07-28 02:36:50
ORD-00081,CASE-00081,CUST-0001,7499.92,INR,COMPLETED,2026-07-23 17:58:12
ORD-00082,CASE-00082,CUST-0002,7499.29,INR,COMPLETED,2026-05-21 03:39:19
ORD-00083,CASE-00083,CUST-0003,7499.05,INR,COMPLETED,2026-01-22 04:13:09
ORD-00084,CASE-00084,CUST-0004,48500.13,INR,COMPLETED,2026-01-05 18:19:18
ORD-00085,CASE-00085,CUST-0005,48500.43,INR,COMPLETED,2026-03-13 14:23:38
ORD-00086,CASE-00086,CUST-0006,1250.51,INR,COMPLETED,2026-07-10 23:24:36
ORD-00087,CASE-00087,CUST-0007,2499.19,INR,COMPLETED,2026-08-07 14:02:42
ORD-00088,CASE-00088,CUST-0008,120000.97,INR,COMPLETED,2026-06-11 15:01:22
ORD-00089,CASE-00089,CUST-0009,120000.48,INR,COMPLETED,2026-06-24 23:05:56
ORD-00090,CASE-00090,CUST-0010,7499.72,INR,COMPLETED,2026-01-24 09:23:13
ORD-00091,CASE-00091,CUST-0011,4999.33,INR,COMPLETED,2026-02-01 12:43:19
ORD-00092,CASE-00092,CUST-0012,2499.00,INR,COMPLETED,2026-06-08 15:39:35
ORD-00093,CASE-00093,CUST-0013,7499.04,INR,COMPLETED,2026-03-31 21:30:53
ORD-00094,CASE-00094,CUST-0014,1250.87,INR,COMPLETED,2026-04-01 15:40:03
ORD-00095,CASE-00095,CUST-0015,25000.14,INR,COMPLETED,2026-07-31 11:41:21
ORD-00096,CASE-00096,CUST-0016,2499.09,INR,COMPLETED,2026-01-24 03:52:00
ORD-00097,CASE-00097,CUST-0017,48500.15,INR,COMPLETED,2026-07-02 00:34:54
ORD-00098,CASE-00098,CUST-0018,120000.69,INR,COMPLETED,2026-07-11 18:30:18
ORD-00099,CASE-00099,CUST-0019,25000.94,INR,COMPLETED,2026-05-06 04:15:17
ORD-00100,CASE-00100,CUST-0020,4999.86,INR,COMPLETED,2026-08-12 09:14:39
